Scenario;acc;acc_thres;pix_acc;pix_acc_wobg;bmiou;pix_bmiou
AVG;0,063906707;0,066404307;0,889183109;0,183700351;0,73447619;0,999746304
;;;;;;
;;;;;;
pato_meu;0,063906707;0,066404307;0,889183109;0,183700351;0,73447619;0,999746304
