Scenario;acc;acc_thres;pix_acc;pix_acc_wobg;bmiou;pix_bmiou
AVG;0,148576839;0,172486795;0,894734126;0,15614335;0,679227053;0,995966102
;;;;;;
;;;;;;
pato_sketch;0,148576839;0,172486795;0,894734126;0,15614335;0,679227053;0,995966102
