Scenario;acc;acc_thres;pix_acc;pix_acc_wobg;bmiou;pix_bmiou
AVG;0,156193464;0,152390109;0,798263408;0,162640184;0,660132275;0,997976854
;;;;;;
;;;;;;
simpsons_meu;0,156193464;0,152390109;0,798263408;0,162640184;0,660132275;0,997976854
