Scenario;acc;acc_thres;pix_acc;pix_acc_wobg;bmiou;pix_bmiou
AVG;0,144570874;0,129608902;0,942462338;0,123940658;0,759276896;0,999655917
;;;;;;
;;;;;;
white_meu;0,144570874;0,129608902;0,942462338;0,123940658;0,759276896;0,999655917
