Scenario;acc;acc_thres;pix_acc;pix_acc_wobg;bmiou;pix_bmiou
AVG;0,132870188;0,143337004;0,951284527;0,126038667;0,512636684;0,999776396
;;;;;;
;;;;;;
white_sketch;0,132870188;0,143337004;0,951284527;0,126038667;0,512636684;0,999776396
